problem,top_module,candidate,archived_first_pass,archived_final,archived_passing_attempt,arch_build_ok,sim_result,wall_time_s,sv_identical,outcome_changed,runtime
cvdp_copilot_16qam_mapper_0001,qam16_mapper_interpolated,qam16_mapper_interpolated.arch (first pass),pass,pass,0,True,pass,5.9,False,False,osvb-docker
cvdp_copilot_16qam_mapper_0006,qam16_demapper_interpolated,qam16_demapper_interpolated.arch (first pass),pass,pass,0,True,pass,19.1,False,False,osvb-docker
cvdp_copilot_64b66b_encoder_0001,encoder_64b66b,encoder_64b66b.arch (first pass),pass,pass,0,True,pass,0.8,True,False,osvb-docker
cvdp_copilot_8x3_priority_encoder_0001,priority_encoder_8x3,priority_encoder_8x3.arch (first pass),pass,pass,0,True,pass,3.4,True,False,osvb-docker
cvdp_copilot_Carry_Lookahead_Adder_0001,GP,GP.arch (first pass),pass,pass,0,True,pass,0.8,True,False,osvb-docker
cvdp_copilot_GFCM_0001,glitch_free_mux,glitch_free_mux.arch (first pass),pass,pass,0,True,pass,1.2,True,False,osvb-docker
cvdp_copilot_axi_stream_upscale_0001,axis_upscale,repair_attempt_01.arch,fail,pass,1,True,pass,0.8,True,False,osvb-docker
cvdp_copilot_axis_joiner_0001,axis_joiner,axis_joiner.arch (first pass),pass,pass,0,True,pass,0.8,True,False,osvb-docker
cvdp_copilot_bcd_counter_0001,bcd_counter,bcd_counter.arch (first pass),pass,pass,0,True,pass,6.9,True,False,osvb-docker
cvdp_copilot_binary_to_one_hot_decoder_0001,binary_to_one_hot_decoder,binary_to_one_hot_decoder.arch (first pass),pass,pass,0,True,pass,0.8,True,False,osvb-docker
cvdp_copilot_bus_arbiter_0001,cvdp_copilot_bus_arbiter,cvdp_copilot_bus_arbiter.arch (first pass),pass,pass,0,True,pass,0.8,True,False,osvb-docker
cvdp_copilot_caesar_cipher_0001,caesar_cipher,caesar_cipher.arch (first pass),pass,pass,0,True,pass,0.8,True,False,osvb-docker
cvdp_copilot_car_parking_management_0001,car_parking_system,car_parking_system.arch (first pass),pass,pass,0,True,pass,1.8,True,False,osvb-docker
cvdp_copilot_cascaded_adder_0001,cascaded_adder,cascaded_adder.arch (first pass),pass,pass,0,True,pass,28.9,True,False,osvb-docker
cvdp_copilot_clock_divider_0003,clock_divider,clock_divider.arch (first pass),pass,pass,0,True,pass,0.8,True,False,osvb-docker
cvdp_copilot_clock_jitter_detection_module_0003,clock_jitter_detection_module,repair_attempt_02.arch,fail,pass,2,True,fail,2.5,True,True,osvb-docker
cvdp_copilot_comparator_0001,signed_unsigned_comparator,signed_unsigned_comparator.arch (first pass),pass,pass,0,True,pass,0.8,True,False,osvb-docker
cvdp_copilot_complex_multiplier_0001,complex_multiplier,complex_multiplier.arch (first pass),pass,pass,0,True,pass,1.0,True,False,osvb-docker
cvdp_copilot_convolutional_encoder_0001,convolutional_encoder,repair_attempt_01.arch,fail,pass,1,True,pass,0.8,True,False,osvb-docker
cvdp_copilot_data_bus_controller_0001,data_bus_controller,repair_attempt_01.arch,fail,pass,1,True,fail,0.8,True,True,osvb-docker
cvdp_copilot_data_width_converter_0003,data_width_converter,data_width_converter.arch (first pass),pass,pass,0,True,pass,0.8,True,False,osvb-docker
cvdp_copilot_dbi_0001,dbi_enc,dbi_enc.arch (first pass),pass,pass,0,True,pass,0.8,True,False,osvb-docker
cvdp_copilot_decode_firstbit_0001,cvdp_copilot_decode_firstbit,repair_attempt_02.arch,fail,pass,2,True,pass,0.9,True,False,osvb-docker
cvdp_copilot_digital_dice_roller_0001,digital_dice_roller,repair_attempt_02.arch,fail,pass,2,True,pass,41.2,True,False,osvb-docker
cvdp_copilot_digital_stopwatch_0001,dig_stopwatch,repair_attempt_04.arch,fail,fail,0,True,fail,1.5,True,False,osvb-docker
cvdp_copilot_edge_detector_0001,sync_pos_neg_edge_detector,sync_pos_neg_edge_detector.arch (first pass),pass,pass,0,True,pass,0.8,True,False,osvb-docker
cvdp_copilot_factorial_0001,factorial,factorial.arch (first pass),pass,pass,0,True,pass,0.9,True,False,osvb-docker
cvdp_copilot_fibonacci_series_0001,fibonacci_series,repair_attempt_03.arch,fail,pass,3,True,pass,0.9,True,False,osvb-docker
cvdp_copilot_gf_multiplier_0001,gf_multiplier,gf_multiplier.arch (first pass),pass,pass,0,True,pass,0.8,True,False,osvb-docker
cvdp_copilot_hebbian_rule_0017,hebb_gates,hebb_gates.arch (first pass),pass,pass,0,True,pass,0.8,True,False,osvb-docker
