  total  blank   cmnt   code  file
     95      7     22     66  build/fb_age_arb.sv
    293      3     90    200  build/ibex_alu.sv
    779      9    313    457  build/ibex_compressed_decoder.sv
    625     11    183    431  build/ibex_controller.sv
   1117      4    295    818  build/ibex_core.sv
     26      3     10     13  build/ibex_core_shared_pkg.sv
     98      3     61     34  build/ibex_counter.sv
    742      3    195    544  build/ibex_decoder.sv
    204      3     94    107  build/ibex_ex_block.sv
    237      3     78    156  build/ibex_fetch_fifo.sv
   1466      8    539    919  build/ibex_icache.sv
    447      4     33    410  build/ibex_icache_output_stage.sv
    908      4    252    652  build/ibex_id_stage.sv
    438      4    152    282  build/ibex_if_stage.sv
    513      3    227    283  build/ibex_load_store_unit.sv
    552      8    151    393  build/ibex_multdiv_fast.sv
    477      3    110    364  build/ibex_pmp.sv
    282      4    119    159  build/ibex_prefetch_buffer.sv
    108      3     54     51  build/ibex_register_file_ff.sv
    714      3    292    419  build/ibex_top.sv
    118      3     59     56  build/ibex_wb_stage.sv
    181      9     61    111  build/inval_ctrl.sv
     40      4      9     27  build/ram_port_arb.sv
  10460    109   3399   6952  TOTAL (23 files)
