problem,candidate,is_final,archived_status,archived_mismatches,arch_build_ok,sim_result,mismatches,samples,wall_time_s,sv_identical,outcome_changed
Prob001_zero,Prob001_zero,True,pass,0,True,pass,0,20,0.11,True,False
Prob002_m2014_q4i,Prob002_m2014_q4i,True,pass,0,True,pass,0,100,0.09,True,False
Prob003_step_one,Prob003_step_one,True,pass,0,True,pass,0,20,0.09,True,False
Prob004_vector2,Prob004_vector2,True,pass,0,True,pass,0,110,0.10,True,False
Prob005_notgate,Prob005_notgate,True,pass,0,True,pass,0,239,0.09,True,False
Prob006_vectorr,Prob006_vectorr,True,pass,0,True,pass,0,218,0.09,True,False
Prob007_wire,Prob007_wire,True,pass,0,True,pass,0,120,0.09,True,False
Prob008_m2014_q4h,Prob008_m2014_q4h,True,pass,0,True,pass,0,100,0.09,True,False
Prob009_popcount3,Prob009_popcount3,True,pass,0,True,pass,0,220,0.10,True,False
Prob010_mt2015_q4a,Prob010_mt2015_q4a,True,pass,0,True,pass,0,202,0.09,True,False
Prob011_norgate,Prob011_norgate,True,pass,0,True,pass,0,219,0.10,True,False
Prob012_xnorgate,Prob012_xnorgate,True,pass,0,True,pass,0,219,0.09,True,False
Prob013_m2014_q4e,Prob013_m2014_q4e,True,pass,0,True,pass,0,100,0.09,True,False
Prob014_andgate,Prob014_andgate,True,pass,0,True,pass,0,219,0.10,True,False
Prob015_vector1,Prob015_vector1,True,pass,0,True,pass,0,218,0.09,True,False
Prob016_m2014_q4j,Prob016_m2014_q4j,True,pass,0,True,pass,0,100,0.09,True,False
Prob017_mux2to1v,Prob017_mux2to1v,True,pass,0,True,pass,0,114,0.09,True,False
Prob018_mux256to1,Prob018_mux256to1,True,pass,0,True,pass,0,2000,0.12,True,False
Prob019_m2014_q4f,Prob019_m2014_q4f,True,pass,0,True,pass,0,100,0.09,True,False
Prob020_mt2015_eq2,Prob020_mt2015_eq2,True,pass,0,True,pass,0,2000,0.10,True,False
Prob021_mux256to1v,Prob021_mux256to1v,True,pass,0,True,pass,0,2000,0.16,True,False
Prob022_mux2to1,Prob022_mux2to1,True,pass,0,True,pass,0,122,0.09,True,False
Prob023_vector100r,Prob023_vector100r,True,pass,0,True,pass,0,200,0.12,True,False
Prob024_hadd,Prob024_hadd,True,pass,0,True,pass,0,200,0.10,True,False
Prob025_reduction,Prob025_reduction,True,pass,0,True,pass,0,100,0.09,True,False
Prob026_alwaysblock1,Prob026_alwaysblock1,True,pass,0,True,pass,0,219,0.10,True,False
Prob027_fadd,Prob027_fadd,True,pass,0,True,pass,0,214,0.10,True,False
Prob028_m2014_q4a,Prob028_m2014_q4a,True,pass,0,True,pass,0,100,0.11,True,False
Prob029_m2014_q4g,Prob029_m2014_q4g,True,pass,0,True,pass,0,100,0.10,True,False
Prob030_popcount255,Prob030_popcount255,True,pass,0,True,pass,0,215,0.31,True,False
Prob031_dff,Prob031_dff,True,pass,0,True,pass,0,121,0.10,True,False
Prob032_vector0,Prob032_vector0,True,pass,0,True,pass,0,21,0.10,True,False
Prob033_ece241_2014_q1c,Prob033_ece241_2014_q1c,True,pass,0,True,pass,0,116,0.12,True,False
Prob034_dff8,Prob034_dff8,True,pass,0,True,pass,0,41,0.09,True,False
Prob035_count1to10,Prob035_count1to10,True,pass,0,True,pass,0,439,0.09,True,False
Prob036_ringer,Prob036_ringer,True,pass,0,True,pass,0,19,0.09,True,False
Prob037_review2015_count1k,Prob037_review2015_count1k,True,pass,0,True,pass,0,8027,0.11,True,False
Prob038_count15,Prob038_count15,True,pass,0,True,pass,0,421,0.09,True,False
Prob039_always_if,Prob039_always_if,True,pass,0,True,pass,0,114,0.09,True,False
Prob040_count10,Prob040_count10,True,pass,0,True,pass,0,439,0.09,True,False
Prob041_dff8r,Prob041_dff8r,True,pass,0,True,pass,0,432,0.09,True,False
Prob042_vector4,Prob042_vector4,True,pass,0,True,pass,0,100,0.09,True,False
Prob043_vector5,Prob043_vector5,True,pass,0,True,pass,0,100,0.10,True,False
Prob044_vectorgates,Prob044_vectorgates,True,pass,0,True,pass,0,261,0.10,True,False
Prob045_edgedetect2,Prob045_edgedetect2,True,pass,0,True,pass,0,228,0.09,True,False
Prob046_dff8p,Prob046_dff8p,True,pass,0,True,pass,0,436,0.09,True,False
Prob047_dff8ar,Prob047_dff8ar,True,pass,0,True,pass,0,436,0.09,True,False
Prob048_m2014_q4c,Prob048_m2014_q4c,True,pass,0,True,pass,0,100,0.10,True,False
Prob049_m2014_q4b,Prob049_m2014_q4b,True,pass,0,True,pass,0,100,0.09,True,False
Prob050_kmap1,Prob050_kmap1,True,pass,0,True,pass,0,219,0.09,True,False
Prob051_gates4,Prob051_gates4,True,pass,0,True,pass,0,234,0.10,True,False
Prob052_gates100,Prob052_gates100,True,pass,0,True,pass,0,433,0.11,True,False
Prob053_m2014_q4d,repair_attempt_01,True,pass,0,True,pass,0,100,0.09,True,False
Prob054_edgedetect,Prob054_edgedetect,True,pass,0,True,pass,0,227,0.10,True,False
Prob055_conditional,Prob055_conditional,True,pass,0,True,pass,0,112,0.09,True,False
Prob056_ece241_2013_q7,Prob056_ece241_2013_q7,True,pass,0,True,pass,0,422,0.09,True,False
Prob057_kmap2,Prob057_kmap2,True,pass,0,True,pass,0,232,0.09,True,False
Prob058_alwaysblock2,Prob058_alwaysblock2,True,pass,0,True,pass,0,219,0.10,True,False
Prob059_wire4,Prob059_wire4,True,pass,0,True,pass,0,218,0.09,True,False
Prob060_m2014_q4k,Prob060_m2014_q4k,True,pass,0,True,pass,0,299,0.10,True,False
Prob061_2014_q4a,Prob061_2014_q4a,True,pass,0,True,pass,0,200,0.09,True,False
Prob062_bugs_mux2,repair_attempt_01,True,pass,0,True,pass,0,114,0.10,True,False
Prob063_review2015_shiftcount,repair_attempt_01,True,pass,0,True,pass,0,2071,0.13,True,False
Prob064_vector3,Prob064_vector3,True,pass,0,True,pass,0,126,0.10,True,False
Prob065_7420,Prob065_7420,True,pass,0,True,pass,0,239,0.09,True,False
Prob066_edgecapture,repair_attempt_04,True,fail,4,True,fail,4,266,0.10,True,False
Prob067_countslow,Prob067_countslow,True,pass,0,True,pass,0,499,0.10,True,False
Prob068_countbcd,Prob068_countbcd,True,pass,0,True,pass,0,39805,0.22,True,False
Prob069_truthtable1,Prob069_truthtable1,True,pass,0,True,pass,0,58,0.10,True,False
Prob070_ece241_2013_q2,Prob070_ece241_2013_q2,True,pass,0,True,pass,0,107,0.10,True,False
Prob071_always_casez,Prob071_always_casez,True,pass,0,True,pass,0,346,0.10,True,False
Prob072_thermostat,Prob072_thermostat,True,pass,0,True,pass,0,248,0.10,True,False
Prob073_dff16e,Prob073_dff16e,True,pass,0,True,pass,0,443,0.11,True,False
Prob074_ece241_2014_q4,Prob074_ece241_2014_q4,True,pass,0,True,pass,0,118,0.10,True,False
Prob075_counter_2bc,Prob075_counter_2bc,True,pass,0,True,pass,0,1051,0.10,True,False
Prob076_always_case,Prob076_always_case,True,pass,0,True,pass,0,118,0.09,True,False
Prob077_wire_decl,Prob077_wire_decl,True,pass,0,True,pass,0,122,0.09,True,False
Prob078_dualedge,Prob078_dualedge,True,pass,0,True,pass,0,224,0.09,True,False
Prob079_fsm3onehot,Prob079_fsm3onehot,True,pass,0,True,pass,0,200,0.09,True,False
Prob080_timer,Prob080_timer,True,pass,0,True,pass,0,7127,0.10,True,False
Prob081_7458,Prob081_7458,True,pass,0,True,pass,0,439,0.10,True,False
Prob082_lfsr32,Prob082_lfsr32,True,pass,0,True,pass,0,200000,0.58,True,False
Prob083_mt2015_q4b,Prob083_mt2015_q4b,True,pass,0,True,pass,0,110,0.10,True,False
Prob084_ece241_2013_q12,Prob084_ece241_2013_q12,True,pass,0,True,pass,0,530,0.10,True,False
Prob085_shift4,Prob085_shift4,True,pass,0,True,pass,0,427,0.09,True,False
Prob086_lfsr5,Prob086_lfsr5,True,pass,0,True,pass,0,4443,0.10,True,False
Prob087_gates,Prob087_gates,True,pass,0,True,pass,0,210,0.09,True,False
Prob088_ece241_2014_q5b,Prob088_ece241_2014_q5b,True,pass,0,True,pass,0,436,0.10,True,False
Prob089_ece241_2014_q5a,Prob089_ece241_2014_q5a,True,pass,0,True,pass,0,436,0.12,True,False
Prob090_circuit1,Prob090_circuit1,True,pass,0,True,pass,0,120,0.09,True,False
Prob091_2012_q2b,Prob091_2012_q2b,True,pass,0,True,pass,0,600,0.10,True,False
Prob092_gatesv100,Prob092_gatesv100,True,pass,0,True,pass,0,201,0.10,True,False
Prob093_ece241_2014_q3,repair_attempt_01,True,pass,0,True,pass,0,60,0.09,True,False
Prob094_gatesv,Prob094_gatesv,True,pass,0,True,pass,0,213,0.10,True,False
Prob095_review2015_fsmshift,Prob095_review2015_fsmshift,True,pass,0,True,pass,0,200,0.10,True,False
Prob096_review2015_fsmseq,Prob096_review2015_fsmseq,True,pass,0,True,pass,0,643,0.10,True,False
Prob097_mux9to1v,Prob097_mux9to1v,True,pass,0,True,pass,0,220,0.10,True,False
Prob098_circuit7,Prob098_circuit7,True,pass,0,True,pass,0,123,0.10,True,False
Prob099_m2014_q6c,repair_attempt_01,True,fail,,True,fail,,,0.09,True,False
Prob100_fsm3comb,Prob100_fsm3comb,True,pass,0,True,pass,0,100,0.09,True,False
Prob101_circuit4,Prob101_circuit4,True,pass,0,True,pass,0,121,0.09,True,False
Prob102_circuit3,Prob102_circuit3,True,pass,0,True,pass,0,121,0.09,True,False
Prob103_circuit2,Prob103_circuit2,True,pass,0,True,pass,0,121,0.10,True,False
Prob104_mt2015_muxdff,repair_attempt_01,True,pass,0,True,pass,0,199,0.09,True,False
Prob105_rotate100,Prob105_rotate100,True,pass,0,True,pass,0,4005,0.11,True,False
Prob106_always_nolatches,Prob106_always_nolatches,True,pass,0,True,pass,0,30020,0.16,True,False
Prob107_fsm1s,Prob107_fsm1s,True,pass,0,True,pass,0,230,0.09,True,False
Prob108_rule90,Prob108_rule90,True,pass,0,True,pass,0,7121,0.17,True,False
Prob109_fsm1,Prob109_fsm1,True,pass,0,True,pass,0,228,0.09,True,False
Prob110_fsm2,Prob110_fsm2,True,pass,0,True,pass,0,241,0.10,True,False
